S.No	Occasion	Date	Day
1	Kanuma	16-Jan-2023	Monday
2	Republic Day	26-Jan-2023	Thursday
3	Holi	7-Mar-2023	Tuesday
4	Ugadi	22-Mar-2023	Wednesday
5	Good Friday	7-Apr-2023	Friday
6	May Day	1-May-2023	Monday
7	Telangana Formation Day	2-Jun-2023	Friday
8	Bakrid	29-Jun-2023	Thursday
9	Independence Day	15-Aug-2023	Tuesday
10	Rakshabandhan	30-Aug-2023	Wednesday
11	Ganesh Chaturthi	19-Sep-2023	Tuesday
12	Gandhi Jayanti	2-Oct-2023	Monday
13	Vijaya Dashami	24-Oct-2023	Tuesday
14	Guru Nanak Jayanthi	27-Nov-2023	Monday
15	Christmas	25-Dec-2023	Monday
16	New Year's Day (observed)	1-Feb-2023	Monday
17	Martin Luther King Day	16-Jan-2023	Monday
18	Presidents' Day	20-Feb-2023	Monday
19	Memorial Day	29-May-2023	Monday
20	Independence Day	4-Jul-2023	Tuesday
21	Labor Day	4-Sep-2023	Monday
22	Columbus Day	9-Oct-2023	Monday
23	Thanksgiving Day	23-Nov-2023	Thursday
24	After Thanksgiving Day / Black Friday	24-Nov-2023	Friday 
