S.No	Occasion	Date	Day
1	Makara Sankranti 	14-Jan-2022	Friday
2	Republic Day 	26-Jan-2022	Wednesday
3	Maha Shivaratri 	1-Mar-2022	Tuesday
4	Ugadi 	2-Apr-2022	Saturday
5	Mahavir Jayanti 	14-Apr-2022	Thursday
6	Good Friday 	15-Apr-2022	Friday
7	Idul Fitr (Ramzan) 	3-May-2022	Tuesday
8	Bonalu 	25-Jul-2022	Monday
9	Muharram 	9-Aug-2022	Tuesday
10	Rakshabhandan 	11-Aug-2022	Thursday
11	Independence Day 	15-Aug-2022	Monday
12	Janamashtami 	19-Aug-2022	Friday
13	Ganesh Chaturthi 	31-Aug-2022	Wednesday
14	Vijaya Dashami 	5-Oct-2022	Wednesday
15	Diwali 	24-Oct-2022	Monday
16	Guru Nanak Jayanti 	8-Nov-2022	Tuesday
17	Christmas Holiday 	26-Dec-2022	Monday
